HI 166,P,PHILIPPINE HISTORY,3,M-W-F 0900-1000,BEL-311,"MENDOZA, MEYNARDO P."
HI 166,Q,PHILIPPINE HISTORY,3,M-W-F 1000-1100,BEL-311,"MENDOZA, MEYNARDO P."
HI 166,R,PHILIPPINE HISTORY,3,M-W-F 1200-1300,BEL-213,"MENDOZA, MEYNARDO P."
HI 166,T,PHILIPPINE HISTORY,3,M-W-F 1000-1100,B-104,"GENER, VIRGILIO ANGELO G."
HI 166,V,PHILIPPINE HISTORY,3,M-W-F 1200-1300,K-202,"GENER, VIRGILIO ANGELO G."
HI 166,Y,PHILIPPINE HISTORY,3,M-W-F 1600-1700,CTC 203,"ALFARO, MA. RITA LOURDES A."
HI 166,Z,PHILIPPINE HISTORY,3,T-TH 1530-1700,B-307,"BUNAG, MA. CRISELDA DANA P."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
POS 100,B,POLITICS AND GOVERNANCE,3,T-TH 0800-0930,CTC 205,"ORETA, JENNIFER S."
POS 100,C,POLITICS AND GOVERNANCE,3,SAT 0900-1200,CTC 206,"SUNGA, RICARDO III A."
POS 100,F,POLITICS AND GOVERNANCE,3,T-TH 1530-1700,BEL-207,"BARRETTO, BENJAMIN ROBERTO G."
POS 100,G,POLITICS AND GOVERNANCE,3,T-TH 1100-1230,K-203,"ORETA, JENNIFER S."
POS 100,H,POLITICS AND GOVERNANCE,3,M-W-F 0900-1000,CTC 407,"JULIANO, HANSLEY A."
POS 100,I,POLITICS AND GOVERNANCE,3,M-W-F 1100-1200,CTC 405,"TIONLOC, JAVIER RICO ISRAEL R."
POS 100,K,POLITICS AND GOVERNANCE,3,M-W-F 1300-1400,CTC 405,"RIVERA, MIGUEL PAOLO P."
POS 100,L,POLITICS AND GOVERNANCE,3,W 1700-2000,CTC 302,"LIM, MILLARD O."
POS 100,M,POLITICS AND GOVERNANCE,3,T 1730-2030,B-305,"SUNGA, RICARDO III A."
POS 100,O,POLITICS AND GOVERNANCE,3,SAT 1300-1600,B-204/B-205,"SUNGA, RICARDO III A."
POS 100,P,POLITICS AND GOVERNANCE,3,M-W-F 1500-1600,SEC-A210A,"RIVERA, MIGUEL PAOLO P."
POS 100,T,POLITICS AND GOVERNANCE,3,T-TH 1700-1830,B-104,"BARRETTO, BENJAMIN ROBERTO G."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IS 165.1,A,DESIGN AND INNOVATION: INTRODUCTION TO THE DEVELOPMENT OF CREATIVE PROJECTS,3,T 1700-2000,CTC 306,"PALILEO, AARON A."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
CS 195.O6,A,APPLIED DIGITAL LAW AND ETHICS,3,W 1700-2000,F-227,"IMBONG, JO AUREA M."
